fecha,cliente_id,producto_id,precio,costo,canal,region,descuento,ingreso,ganancia,nombre,apellido,nombre_completo,email,nombre_producto,categoria,margen_pct,ticket_cliente,mes,anio,segmento_cliente
2024-01-01 00:00:00,1302,P007,508.995015511711,356.3764757020367,App móvil,Norte,0.0880191199522746,464.1937221862759,107.81724648423916,Sandra,Quezada,Sandra Quezada,castroangel@example.org,Silla Pro,Hogar,0.23226778246038682,3139.9978583668553,1,2024,Medio
2024-01-01 01:00:00,1495,P004,328.5957312224825,188.43383498037284,Web,CDMX,0.1515161740462294,278.80816321972884,90.374328239356,Paulina,Segura,Paulina Segura,vegacamila@example.com,Audífonos Pro,Electrónica,0.32414520147364534,3061.473507305785,1,2024,Medio
2024-01-01 02:00:00,1657,P013,284.0111937386094,203.05837325271844,Marketplace,Norte,0.0222841699363644,277.6822400335085,74.62386678079005,Oswaldo,Rolón,Oswaldo Rolón,natividad42@example.net,Sudadera Pro,Ropa,0.2687383491712867,5562.838299769919,1,2024,Alto
2024-01-01 03:00:00,1767,P015,1147.736918780125,779.7481627859098,Marketplace,Occidente,0.0023965044353669,1144.986362163634,365.2381993777243,Yuridia,Gollum,Yuridia Gollum,linaressilvano@example.org,Chaqueta Pro,Ropa,0.31898912637487536,5304.604121290533,1,2024,Alto
2024-01-01 04:00:00,1973,P011,1106.2998431860956,623.4439775164557,App móvil,Norte,0.0042733800300888,1101.5722035289336,478.128226012478,Mateo,Cervantes,Mateo Cervantes,lnino@example.com,Playera Pro,Ropa,0.4340416583504684,3451.1387856609135,1,2024,Medio
2024-01-01 05:00:00,1226,P008,104.04137615358508,78.58591055091073,Marketplace,Norte,0.101885734483554,93.44104412749736,14.855133576586624,Georgina,Mares,Georgina Mares,jeronimo02@example.org,Mesa Pro,Hogar,0.15897867703958082,1511.8057551673128,1,2024,Bajo
2024-01-01 06:00:00,1235,P013,439.6349748455754,276.1880678067159,Marketplace,Sur,0.0570193985257658,414.5672530089905,138.37918520227464,Abraham,Flores,Abraham Flores,eric24@example.com,Sudadera Pro,Ropa,0.3337918858711054,2378.1440745662017,1,2024,Bajo
2024-01-01 07:00:00,1872,P005,515.9208367301676,406.85171332893015,Marketplace,CDMX,0.0393344264500119,495.6273865237762,88.77567319484604,Timoteo,Tejeda,Timoteo Tejeda,javier78@example.org,Smartwatch Pro,Electrónica,0.17911777195666992,1651.9735254934521,1,2024,Bajo
2024-01-01 08:00:00,1891,P007,324.86671486583487,232.88730007174607,App móvil,Occidente,0.1538315039045426,274.89197954949526,42.00467947774919,Mario,Ordóñez,Mario Ordóñez,irene20@example.net,Silla Pro,Hogar,0.15280431079360066,1450.2341634528746,1,2024,Bajo
2024-01-01 09:00:00,1454,P010,773.2038315364018,536.1155260167556,Marketplace,Occidente,0.2487737606532953,580.8510066135542,44.73548059679865,Sergio,Estévez,Sergio Estévez,icarbajal@example.com,Aspiradora Pro,Hogar,0.07701713535388878,2268.81270999428,1,2024,Bajo
